Sec_of_day {s},latitude {deg},longitude {deg},h_ellipsiod {m},num_sats
62341,30.3496766666667,-97.7212283333333,234.3,12
62341,30.34968,-97.72123,234.3,12
62341,30.3496783333333,-97.7212216666667,234.3,12
62341,30.34968,-97.7212166666667,234.3,12
62341,30.3496816666667,-97.72121,234.3,12
62342,30.3496766666667,-97.7212116666667,234.3,12
62342,30.3496783333333,-97.7212183333333,234.3,12
62342,30.34968,-97.7212266666667,234.3,12
62342,30.34968,-97.7212266666667,234.3,12
62342,30.34968,-97.7212266666667,234.3,12
62342,30.3496733333333,-97.721225,234.3,12
62342,30.3496733333333,-97.7212266666667,234.3,12
62342,30.3496866666667,-97.7212316666667,231.7,12
62342,30.3496866666667,-97.7212316666667,231.7,12
62342,30.3496866666667,-97.7212316666667,231.7,12
62343,30.3496866666667,-97.7212316666667,231.7,12
62343,30.3496733333333,-97.7212283333333,230.6,12
62343,30.3496733333333,-97.7212283333333,230.7,12
62343,30.3496733333333,-97.7212283333333,230.7,12
62343,30.3496733333333,-97.7212283333333,230.7,12
62343,30.34967,-97.7212283333333,230.3,12
62343,30.34967,-97.7212283333333,230.3,12
62343,30.3496683333333,-97.7212316666667,230.4,12
62343,30.3496716666667,-97.7212366666667,230.5,12
62344,30.349675,-97.7212366666667,230.6,12
62344,30.349675,-97.7212366666667,230.6,12
62344,30.3496583333333,-97.7212533333333,234.4,12
62344,30.3496616666667,-97.7212583333333,234.4,12
62344,30.3496666666667,-97.721265,234.4,12
62344,30.3496733333333,-97.7212733333333,234.4,12
62344,30.3496733333333,-97.721275,234.4,12
62344,30.3496883333333,-97.72127,234.4,12
62344,30.349695,-97.72127,234.4,12
62344,30.3496966666667,-97.7212683333333,234.5,12
62345,30.3497,-97.7212666666667,234.5,12
62345,30.3497066666667,-97.7212633333333,234.5,12
62345,30.3497083333333,-97.7212683333333,234.5,12
62345,30.3497083333333,-97.7212683333333,234.5,12
62345,30.349705,-97.72127,234.6,12
62345,30.349705,-97.72127,234.6,12
62345,30.349705,-97.72127,234.6,12
62345,30.349705,-97.7212766666667,234.6,12
62345,30.3497033333333,-97.721275,234.6,12
62345,30.3497,-97.7212716666667,234.6,12
62400,30.3497016666667,-97.7212716666667,234.6,12
62400,30.3497,-97.7212683333333,234.6,12
62400,30.3497,-97.7212666666667,234.7,12
62400,30.3497,-97.7212633333333,234.6,12
62400,30.3497016666667,-97.7212616666667,234.7,12
62400,30.3497,-97.72126,234.7,12
62400,30.3496983333333,-97.721255,234.7,12
62400,30.3496966666667,-97.7212483333333,234.8,12
62400,30.3496966666667,-97.7212366666667,234.8,12
62400,30.349695,-97.7212366666667,234.8,12
62401,30.34969,-97.7212,230.7,12
62401,30.34969,-97.7212,230.7,12
62401,30.34969,-97.7212,230.7,12
62401,30.34969,-97.7212,230.7,12
62401,30.34969,-97.7212,230.7,12
62401,30.34969,-97.7212,230.7,12
62401,30.34969,-97.7212,230.7,12
62401,30.3496866666667,-97.7211933333333,230.4,12
62401,30.3496866666667,-97.7211933333333,230.4,12
62401,30.3496866666667,-97.7211933333333,230.4,12
62402,30.34969,-97.721195,230,12
62402,30.34969,-97.721195,230,12
62402,30.349695,-97.7211966666667,229.6,12
62402,30.349695,-97.7211966666667,229.6,12
62402,30.349695,-97.7211966666667,229.6,12
62402,30.349695,-97.7211966666667,229.6,12
62402,30.349695,-97.7211966666667,229.6,12
62402,30.349695,-97.7211966666667,229.6,12
62402,30.349695,-97.7211966666667,229.6,12
62402,30.3497066666667,-97.7212116666667,229.4,12
62403,30.3497066666667,-97.721215,229.2,12
62403,30.3497083333333,-97.7212166666667,229.2,12
62403,30.3497066666667,-97.72122,229.2,12
62403,30.3497083333333,-97.7212233333333,229.3,12
62403,30.3497066666667,-97.7212216666667,229.4,12
62403,30.3497066666667,-97.7212283333333,229.4,12
62403,30.34971,-97.7212333333333,229.6,12
62403,30.3497083333333,-97.721235,229.6,12
62403,30.349705,-97.7212416666667,229.3,12
62403,30.349705,-97.7212416666667,229.3,12
62404,30.349705,-97.7212516666667,228.9,12
62404,30.349705,-97.7212516666667,228.9,12
62404,30.349705,-97.7212516666667,228.9,12
62404,30.349705,-97.7212516666667,228.9,12
62404,30.349695,-97.7212466666667,228.7,12
62404,30.34969,-97.721245,228.9,12
62404,30.34969,-97.7212466666667,229,12
62404,30.3496866666667,-97.7212483333333,229,12
62404,30.3496883333333,-97.7212533333333,228.7,12
62404,30.3496916666667,-97.721255,229,12
62405,30.3496916666667,-97.721255,229,12
62405,30.3496916666667,-97.721255,229,12
62405,30.3496833333333,-97.721255,228.5,12
62405,30.3496833333333,-97.721255,228.5,12
62405,30.3496883333333,-97.7212583333333,228.3,12
62405,30.34969,-97.7212616666667,228.3,12
62405,30.3496916666667,-97.7212666666667,228.3,12
62405,30.3496916666667,-97.7212683333333,228.4,12
62405,30.3496833333333,-97.7212666666667,228.7,12
62405,30.3496833333333,-97.721265,228.4,12
62405,30.3496833333333,-97.7212616666667,228.7,12
62460,30.3496833333333,-97.7212616666667,228.7,12
62460,30.3496833333333,-97.7212633333333,229,12
62460,30.34968,-97.7212566666667,229.3,12
62460,30.349675,-97.7212516666667,228.5,12
62460,30.349675,-97.7212516666667,228.5,12
62460,30.349675,-97.7212516666667,228.5,12
62460,30.349675,-97.7212516666667,228.5,12
62460,30.349675,-97.7212516666667,228.5,12
62460,30.349675,-97.7212516666667,228.5,12
62460,30.349675,-97.7212516666667,228.5,12
62461,30.349675,-97.7212516666667,228.5,12
62461,30.3496816666667,-97.7212416666667,230,12
62461,30.3496833333333,-97.7212416666667,230.2,12
62461,30.3496833333333,-97.7212383333333,229.9,12
62461,30.3496833333333,-97.721235,229.9,12
